URL,PrizeMoney,Rating,Gold,Silver,Bronze,TotalMatches,WinRate,BirthPlace
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2002_C299,5803850,66,6,15,5,81,0.3209876543209876,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H327,1811400,76,2,2,4,28,0.2857142857142857,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J284,651750,57,0,1,1,25,0.08,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2008_K133,418250,54,0,1,2,19,0.1578947368421052,"英國"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2008_K147,1479000,77,2,1,3,16,0.375,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2005_G159,1776925,32,3,0,2,45,0.1111111111111111,"愛爾蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H296,2856050,60,2,4,7,46,0.2826086956521739,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H212,2751450,84,2,4,6,31,0.3870967741935484,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J019,4111638,49,7,4,5,60,0.2666666666666666,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H231,1615375,64,2,1,4,30,0.2333333333333333,"愛爾蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2008_K058,4632375,96,5,6,2,40,0.325,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J050,1588600,74,3,0,3,14,0.4285714285714285,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2005_G006,2877975,63,4,1,6,60,0.1833333333333333,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H097,2442300,65,4,3,2,46,0.1956521739130435,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H042,3019690,69,3,6,7,38,0.4210526315789473,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H222,3776900,55,6,2,2,46,0.217391304347826,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2005_G127,1237125,47,2,2,0,32,0.125,"愛爾蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2005_G311,17864136,115,8,7,3,42,0.4285714285714285,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2008_K215,4011250,69,4,3,6,56,0.2321428571428571,"英國"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J123,2446250,30,4,0,1,44,0.1136363636363636,"英國"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2005_G152,5519000,97,6,4,3,37,0.3513513513513513,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H138,5517700,102,7,5,7,35,0.5428571428571428,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J329,3582250,94,4,1,3,31,0.2580645161290322,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H239,4257550,71,5,7,4,47,0.3404255319148936,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H124,2708450,80,4,3,0,37,0.1891891891891892,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J231,3423500,86,3,1,3,36,0.1944444444444444,"美國"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2005_G202,4691550,91,8,1,3,39,0.3076923076923077,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2004_E289,2577000,82,3,6,1,22,0.4545454545454545,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J181,942425,49,1,4,0,17,0.2941176470588235,"愛爾蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2004_E139,2092325,17,4,4,5,67,0.1940298507462686,"愛爾蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2008_K043,2969100,25,5,5,6,68,0.2352941176470588,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J071,217075,21,0,1,1,21,0.0952380952380952,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2008_K062,523800,34,1,1,2,24,0.1666666666666666,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2005_G276,1518700,21,3,3,3,47,0.1914893617021276,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2004_E225,1291950,37,2,5,0,39,0.1794871794871795,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2008_K125,0,5,0,0,0,14,0.0,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J080,213400,17,0,2,0,18,0.1111111111111111,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J315,627075,27,1,1,3,26,0.1923076923076923,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J029,471150,27,0,2,1,20,0.15,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H021,1438125,22,3,4,0,42,0.1666666666666666,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2008_K078,630550,37,1,2,1,23,0.1739130434782608,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2005_G143,2857813,33,6,5,5,59,0.2711864406779661,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2008_K067,672450,33,1,0,4,22,0.2272727272727272,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J038,1040225,41,3,0,2,28,0.1785714285714285,"紐西蘭"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2006_H191,355300,17,1,0,0,23,0.0434782608695652,"南非"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J307,2973500,34,7,3,4,67,0.208955223880597,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2003_D301,1612475,16,3,3,3,51,0.1764705882352941,"澳洲"
/racing/information/Chinese/Horse/Horse.aspx?HorseId=HK_2007_J015,766300,22,2,0,3,35,0.1428571428571428,"紐西蘭"
